教科名,問題集名,問題,解答,覚え方
フランス語,語彙,ベッド,"un lit",
フランス語,語彙,棚,"une e'tag`ere",
フランス語,語彙,"一人掛けソファー","un fauteuil",
フランス語,語彙,コンピュータ,"un ordinateur",
フランス語,語彙,写真,"une photo",
フランス語,語彙,本,"un libre",
フランス語,語彙,テーブル,"une table",
フランス語,語彙,花瓶,"un vase",
フランス語,語彙,花,"une fleur",
フランス語,語彙,コップ,"un verre",
フランス語,語彙,電話,"un tele'phpne",
フランス語,語彙,椅子,"une chaise",
フランス語,語彙,皿,assiette,
フランス語,語彙,窓,"une fene^tre",
フランス語,語彙,背負うバッグ,"un sac",
フランス語,語彙,ジャケット,"un blouson",
フランス語,語彙,帽子,"un chapeau",
フランス語,語彙,?と一緒（and),avec,
フランス語,語彙,[季節]春,"le printemps",
フランス語,語彙,[季節]夏,"l'e'te'(la e'te')",
フランス語,語彙,[季節]秋,"l'automne(la automne)",
フランス語,語彙,[季節]冬,"l'hiver(la hiver)",
フランス語,語彙,[天気]雪が降る,"Il neige,
La neige tomble",
フランス語,語彙,[天気]寒い,"Il fait froid",
フランス語,語彙,[天気]晴れている,"Il fait beau,
Le soleil brille,
Le ciel est bleu,
Il y a du soleil",
フランス語,語彙,[天気]暑い,"il fait choud
ils ont chaud",
フランス語,語彙,[天気]乾燥している,"ils ont soif",
フランス語,語彙,[天気]曇っている,"Il fait mauvais,
Il fait gris,
Il y a des nuages,
Le ciel est couvert",
フランス語,語彙,[天気]雨が降っている,"Il pleut,
La pluie tombe",
フランス語,語彙,[天気]何度ですか？⇒30℃です。,"Combien fait-il? (=Il fait combien?)
->Il fait 30 degre's (=Il fait trente).",
フランス語,語彙,[天気]暖かい,"Il fait bon (doux).",
フランス語,語彙,[天気]涼しい,"Il fait frais",
フランス語,語彙,[天気]嵐が来ている(雷が鳴っている）,"Il y a de l'orage,
Un orage e'clate,
Il y a des e'clairs",
フランス語,語彙,[天気]風が吹いている,"Il y a du vent,
Le vent souffle",
フランス語,語彙,[天気]天気はどうですか？,"Quel temps fait-il?",
フランス語,語彙,[曜日]日曜日,dimarche,
フランス語,語彙,[曜日]月曜日,lundi,
フランス語,語彙,[曜日]火曜日,jeudi,
フランス語,語彙,[曜日]水曜日,mercredi,
フランス語,語彙,[曜日]木曜日,jeudi,
フランス語,語彙,[曜日]金曜日,vendredi,
フランス語,語彙,[曜日]土曜日,somedi,
フランス語,語彙,午前、朝,matin,
フランス語,語彙,午後,apr`es-midi,
フランス語,語彙,[天気]霧が出ている,"Il y a du brouillard",
フランス語,語彙,[天気]雨氷が降っている,"Il y a du verglas",
フランス語,語彙,凍える,g`ere,
フランス語,語彙,みんな（everyone),"tout le monde a",
フランス語,語彙,[天気]天気,"la me'te'o",
フランス語,語彙,[月]1月,Janvier,
フランス語,語彙,[月]2月,Fe'brier,
フランス語,語彙,[月]3月,Mars,
フランス語,語彙,[月]4月,Avril,
フランス語,語彙,[月]5月,Mai,
フランス語,語彙,[月]6月,Juin,
フランス語,語彙,[月]7月,Juillet,
フランス語,語彙,[月]8月,Aou^t,
フランス語,語彙,[月]9月,Septembre,
フランス語,語彙,[月]10月,Octobre,
フランス語,語彙,[月]11月,Novembre,
フランス語,語彙,[月]12月,De'cembre,
フランス語,語彙,[位置]?の前,devant,
フランス語,語彙,[位置]?の後ろ,derri`ere,
フランス語,語彙,[位置]の中,dans,
フランス語,語彙,[位置]?の下,sous,
フランス語,語彙,[位置]?の上,sur,
フランス語,語彙,[位置]?の隣,"`a co^te' de",
フランス語,語彙,[位置]?の近く,"pr`es de",
フランス語,語彙,[位置]?の遠く,"loin de",
フランス語,語彙,[位置]?の正面、向かい側,"en face de",
フランス語,語彙,[位置]?の中ほど,"au milieu",
フランス語,語彙,[位置]?の角に,"au coin de",
フランス語,語彙,私,je,
フランス語,語彙,あなた,Tu,
フランス語,語彙,彼,Il,
