教科名,問題集名,問題,解答,覚え方
1,1,forehead:Noun,額,
1,1,"lean over:Phrasal Verb",に身を乗り出す,
1,1,"lean against:Phrasal Verb",にもたれかかる,
1,1,"inspect:Transitive Verb",を検査する,
1,1,"adjust:Transitive Verb",を調整する,
1,1,lighting:Noun,照明,
1,1,"file:Transitive Verb",を閉じこむ,
1,1,"sort:Transitive Verb",を仕分ける,
1,1,"sweep:Transitive Verb",を掃除する,
1,1,"plot:Transitive Verb",（グラフなど）を書く,
1,1,chart:Noun,図,
1,1,shopper:Noun,買い物客,
1,1,aisle:Noun,通路,
1,1,shopkeeper:Noun,店主,
1,1,"pour:Transitive Verb",を注ぐ,
1,1,"hand out:Phrasal Verb",を配る,
